2026-04-08 22:15:28,342 - {'cpu_usage': 36.8, 'ram_usage': 86.6, 'disk_usage': 63.6}
2026-04-08 22:15:30,345 - {'cpu_usage': 23.4, 'ram_usage': 86.1, 'disk_usage': 63.6}
2026-04-08 22:15:32,346 - {'cpu_usage': 33.0, 'ram_usage': 85.6, 'disk_usage': 63.6}
2026-04-08 22:15:34,345 - {'cpu_usage': 20.9, 'ram_usage': 85.7, 'disk_usage': 63.6}
2026-04-08 22:15:36,346 - {'cpu_usage': 18.7, 'ram_usage': 85.6, 'disk_usage': 63.6}
2026-04-08 22:15:38,343 - {'cpu_usage': 20.3, 'ram_usage': 85.4, 'disk_usage': 63.6}
2026-04-08 22:15:40,346 - {'cpu_usage': 24.2, 'ram_usage': 85.4, 'disk_usage': 63.6}
2026-04-08 22:15:42,345 - {'cpu_usage': 29.6, 'ram_usage': 85.5, 'disk_usage': 63.6}
2026-04-08 22:15:44,349 - {'cpu_usage': 15.2, 'ram_usage': 85.3, 'disk_usage': 63.6}
2026-04-08 22:15:46,340 - {'cpu_usage': 19.9, 'ram_usage': 85.3, 'disk_usage': 63.6}
2026-04-08 22:15:48,340 - {'cpu_usage': 13.1, 'ram_usage': 85.3, 'disk_usage': 63.6}
2026-04-08 22:15:50,337 - {'cpu_usage': 43.6, 'ram_usage': 86.2, 'disk_usage': 63.6}
2026-04-08 22:15:53,347 - {'cpu_usage': 25.1, 'ram_usage': 86.8, 'disk_usage': 63.6}
2026-04-08 22:15:55,346 - {'cpu_usage': 35.3, 'ram_usage': 86.9, 'disk_usage': 63.6}
2026-04-08 22:15:57,343 - {'cpu_usage': 28.7, 'ram_usage': 86.9, 'disk_usage': 63.6}
2026-04-08 22:16:01,349 - {'cpu_usage': 31.8, 'ram_usage': 86.9, 'disk_usage': 63.6}
2026-04-08 22:16:03,341 - {'cpu_usage': 14.8, 'ram_usage': 86.4, 'disk_usage': 63.6}
2026-04-08 22:16:05,350 - {'cpu_usage': 12.0, 'ram_usage': 86.4, 'disk_usage': 63.6}
2026-04-08 22:16:07,340 - {'cpu_usage': 13.4, 'ram_usage': 86.3, 'disk_usage': 63.6}
2026-04-08 22:16:09,350 - {'cpu_usage': 15.6, 'ram_usage': 86.1, 'disk_usage': 63.6}
2026-04-08 22:16:11,349 - {'cpu_usage': 22.2, 'ram_usage': 86.4, 'disk_usage': 63.6}
2026-04-08 22:16:14,349 - {'cpu_usage': 23.5, 'ram_usage': 86.1, 'disk_usage': 63.6}
2026-04-08 22:16:16,350 - {'cpu_usage': 12.4, 'ram_usage': 86.2, 'disk_usage': 63.6}
2026-04-08 22:16:18,349 - {'cpu_usage': 13.6, 'ram_usage': 86.2, 'disk_usage': 63.6}
2026-04-08 22:16:20,343 - {'cpu_usage': 15.0, 'ram_usage': 86.2, 'disk_usage': 63.6}
2026-04-08 22:16:22,348 - {'cpu_usage': 23.3, 'ram_usage': 85.8, 'disk_usage': 63.6}
2026-04-08 22:16:24,345 - {'cpu_usage': 10.2, 'ram_usage': 85.8, 'disk_usage': 63.6}
2026-04-08 22:16:26,344 - {'cpu_usage': 16.1, 'ram_usage': 86.3, 'disk_usage': 63.6}
2026-04-08 22:16:31,343 - {'cpu_usage': 37.2, 'ram_usage': 86.7, 'disk_usage': 63.6}
2026-04-08 22:16:33,350 - {'cpu_usage': 10.6, 'ram_usage': 86.5, 'disk_usage': 63.6}
2026-04-08 22:16:35,340 - {'cpu_usage': 10.9, 'ram_usage': 86.5, 'disk_usage': 63.6}
2026-04-08 22:16:37,347 - {'cpu_usage': 11.5, 'ram_usage': 86.2, 'disk_usage': 63.6}
2026-04-08 22:16:39,336 - {'cpu_usage': 15.9, 'ram_usage': 86.3, 'disk_usage': 63.6}
2026-04-08 22:16:41,340 - {'cpu_usage': 15.9, 'ram_usage': 86.1, 'disk_usage': 63.6}
2026-04-08 22:16:43,348 - {'cpu_usage': 19.3, 'ram_usage': 86.1, 'disk_usage': 63.6}
2026-04-08 22:16:45,339 - {'cpu_usage': 19.7, 'ram_usage': 86.1, 'disk_usage': 63.6}
